experiment,strategy,instance_id,cost,summary_cost,has_summary,summary_count,turn_count,mean_reasoning_tokens,mean_completion_tokens,mean_prompt_tokens,outcome
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-12262,0.1179,0.0,False,0,21,0,77,20145,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-12276,0.1213,0.0,False,0,34,0,30,8445,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-12419,0.008,0.0,False,0,7,0,14,2815,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-12663,0.1336,0.0,False,0,79,0,26,5115,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-12713,0.1067,0.0,False,0,17,0,36,27904,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-12741,1.0757,0.0,False,0,251,0,86,13900,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-12858,0.0134,0.0,False,0,9,0,22,2534,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-13012,0.0136,0.0,False,0,9,0,50,2925,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-13089,0.0105,0.0,False,0,5,0,38,2909,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-13279,0.2601,0.0,False,0,57,0,57,11232,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-13363,0.1311,0.0,False,0,67,0,27,5808,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-13417,0.013,0.0,False,0,8,0,20,2754,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-13516,0.0346,0.0,False,0,19,0,47,4963,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-13551,0.1518,0.0,False,0,19,0,30,28494,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-13658,0.0708,0.0,False,0,10,0,22,27972,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-13670,0.0178,0.0,False,0,10,0,12,3709,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-13741,0.0061,0.0,False,0,6,0,19,2206,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-13821,0.023,0.0,False,0,11,0,28,5670,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-13925,0.0558,0.0,False,0,22,0,19,5986,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-13933,0.0852,0.0,False,0,29,0,20,7125,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-14089,0.0192,0.0,False,0,13,0,30,3610,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-14122,0.874,0.0,False,0,251,0,31,9561,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-14238,0.0708,0.0,False,0,41,0,19,4318,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-14349,0.0605,0.0,False,0,19,0,79,7452,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-14351,0.1007,0.0,False,0,15,0,18,24141,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-14373,0.0777,0.0,False,0,19,0,12,19003,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-14500,0.024,0.0,False,0,7,0,47,2676,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-14539,0.0268,0.0,False,0,13,0,70,5264,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-14752,0.1457,0.0,False,0,22,0,92,23838,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-14765,0.0061,0.0,False,0,7,0,16,1464,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-14855,0.0407,0.0,False,0,7,0,16,26023,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-14915,0.0263,0.0,False,0,12,0,16,3600,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-15037,0.0937,0.0,False,0,12,0,26,27007,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-15103,0.1646,0.0,False,0,62,0,65,7331,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-15104,0.0569,0.0,False,0,38,0,32,4581,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-15128,0.2973,0.0,False,0,74,0,66,10216,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-15277,0.0125,0.0,False,0,8,0,20,4137,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-15278,0.1295,0.0,False,0,15,0,74,29776,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-15315,0.1189,0.0,False,0,75,0,20,4409,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-15368,0.0084,0.0,False,0,6,0,11,2302,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-15380,0.6399,0.0,False,0,251,0,31,8786,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-15382,0.2535,0.0,False,0,68,0,23,10344,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-15467,0.0331,0.0,False,0,5,0,19,24031,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-15499,0.1507,0.0,False,0,33,0,35,10310,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-15569,0.2141,0.0,False,0,53,0,46,10159,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-15731,0.0429,0.0,False,0,26,0,24,4190,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-15741,0.098,0.0,False,0,15,0,57,24924,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-15814,0.0092,0.0,False,0,6,0,12,2784,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-15851,0.008,0.0,False,0,7,0,17,2095,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-15863,0.0293,0.0,False,0,16,0,50,3910,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-15987,0.0089,0.0,False,0,6,0,18,2805,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-16082,0.3144,0.0,False,0,78,0,41,10536,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-16116,0.0635,0.0,False,0,33,0,28,4661,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-16139,0.0089,0.0,False,0,6,0,14,2857,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-16145,0.079,0.0,False,0,28,0,27,7274,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-16255,0.0341,0.0,False,0,5,0,10,24757,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-16333,0.009,0.0,False,0,7,0,13,2523,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-16429,0.0133,0.0,False,0,8,0,23,3197,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-16485,0.0579,0.0,False,0,22,0,42,4535,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-16493,0.0121,0.0,False,0,8,0,18,2714,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-16527,0.0147,0.0,False,0,8,0,24,4146,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-16569,0.016,0.0,False,0,11,0,56,3361,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-16595,0.2067,0.0,False,0,44,0,88,9478,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-16612,0.072,0.0,False,0,27,0,29,6409,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-16661,0.4109,0.0,False,0,71,0,107,19145,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-16801,0.01,0.0,False,0,8,0,17,2541,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-16899,0.0545,0.0,False,0,22,0,32,5618,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-16901,0.0217,0.0,False,0,13,0,21,3667,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-17029,0.0375,0.0,False,0,6,0,12,25598,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-7530,0.0684,0.0,False,0,29,0,34,4990,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,django__django-9296,0.0292,0.0,False,0,14,0,62,5078,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,matplotlib__matplotlib-13989,0.049,0.0,False,0,18,0,31,5848,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,matplotlib__matplotlib-20488,0.1971,0.0,False,0,45,0,76,10831,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,matplotlib__matplotlib-20676,0.0947,0.0,False,0,29,0,60,6621,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,matplotlib__matplotlib-22719,0.0165,0.0,False,0,9,0,13,4725,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,matplotlib__matplotlib-24026,0.0245,0.0,False,0,13,0,59,5259,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,matplotlib__matplotlib-24149,0.0124,0.0,False,0,9,0,16,3782,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,matplotlib__matplotlib-24970,0.0204,0.0,False,0,9,0,61,2923,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,matplotlib__matplotlib-25122,0.0079,0.0,False,0,6,0,18,2327,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,matplotlib__matplotlib-26113,0.0435,0.0,False,0,15,0,83,8660,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,pallets__flask-5014,0.0116,0.0,False,0,10,0,20,4100,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,psf__requests-1142,0.0795,0.0,False,0,28,0,51,6544,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,psf__requests-1724,0.1925,0.0,False,0,52,0,42,11761,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,psf__requests-1766,0.0097,0.0,False,0,7,0,26,2308,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,pydata__xarray-2905,0.0543,0.0,False,0,20,0,45,5826,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,pydata__xarray-3151,0.0114,0.0,False,0,8,0,44,3280,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,pydata__xarray-3305,0.2311,0.0,False,0,60,0,28,9495,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,pydata__xarray-3677,0.013,0.0,False,0,9,0,24,3464,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,pydata__xarray-4075,0.0223,0.0,False,0,14,0,25,3840,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,pydata__xarray-4629,0.0378,0.0,False,0,42,0,49,3178,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,pydata__xarray-4966,0.0144,0.0,False,0,9,0,59,4525,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,pydata__xarray-6744,0.0499,0.0,False,0,20,0,56,4290,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,pylint-dev__pylint-6903,0.091,0.0,False,0,12,0,30,26078,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,pylint-dev__pylint-7277,0.0294,0.0,False,0,13,0,38,7321,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,pytest-dev__pytest-5809,0.0075,0.0,False,0,6,0,19,2926,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,pytest-dev__pytest-7205,0.0174,0.0,False,0,10,0,21,5210,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,pytest-dev__pytest-7236,0.1525,0.0,False,0,63,0,50,5435,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,pytest-dev__pytest-7490,0.2444,0.0,False,0,54,0,56,13545,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,pytest-dev__pytest-7982,0.011,0.0,False,0,9,0,17,2853,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,pytest-dev__pytest-8399,0.0258,0.0,False,0,13,0,15,4467,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,scikit-learn__scikit-learn-10297,0.089,0.0,False,0,22,0,29,11070,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,scikit-learn__scikit-learn-10844,0.031,0.0,False,0,14,0,30,5977,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,scikit-learn__scikit-learn-11310,0.2318,0.0,False,0,68,0,41,8801,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,scikit-learn__scikit-learn-12585,0.0101,0.0,False,0,8,0,16,2734,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,scikit-learn__scikit-learn-12973,0.0265,0.0,False,0,12,0,39,5703,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,scikit-learn__scikit-learn-13124,0.2325,0.0,False,0,47,0,64,14601,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,scikit-learn__scikit-learn-13142,0.0871,0.0,False,0,31,0,82,6479,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,scikit-learn__scikit-learn-13328,0.1022,0.0,False,0,29,0,34,9957,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,scikit-learn__scikit-learn-13439,0.0362,0.0,False,0,12,0,28,12757,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,scikit-learn__scikit-learn-13496,0.1035,0.0,False,0,26,0,72,12746,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,scikit-learn__scikit-learn-13779,0.0104,0.0,False,0,8,0,26,2867,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,scikit-learn__scikit-learn-14141,0.0052,0.0,False,0,5,0,12,1895,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,scikit-learn__scikit-learn-14496,0.0471,0.0,False,0,8,0,31,13997,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,scikit-learn__scikit-learn-14894,0.0205,0.0,False,0,13,0,64,4918,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,scikit-learn__scikit-learn-15100,0.1234,0.0,False,0,28,0,51,12205,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,scikit-learn__scikit-learn-25102,0.1092,0.0,False,0,39,0,74,8119,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,scikit-learn__scikit-learn-25232,0.0608,0.0,False,0,28,0,25,5395,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,scikit-learn__scikit-learn-25931,0.0804,0.0,False,0,22,0,94,6946,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,scikit-learn__scikit-learn-26323,0.0167,0.0,False,0,10,0,36,3663,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,scikit-learn__scikit-learn-9288,0.0489,0.0,False,0,12,0,111,12774,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,sympy__sympy-13372,0.0438,0.0,False,0,15,0,107,7281,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,sympy__sympy-13480,0.0107,0.0,False,0,8,0,16,2940,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,sympy__sympy-13647,0.0123,0.0,False,0,10,0,41,3759,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,sympy__sympy-13877,0.8536,0.0,False,0,130,0,43,21817,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,sympy__sympy-13878,0.753,0.0,False,0,160,0,64,16023,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,sympy__sympy-14711,0.0188,0.0,False,0,15,0,26,3136,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,sympy__sympy-15349,0.0353,0.0,False,0,14,0,54,6010,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,sympy__sympy-15809,0.0557,0.0,False,0,18,0,15,11538,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,sympy__sympy-15875,0.5425,0.0,False,0,53,0,163,19470,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,sympy__sympy-16450,0.071,0.0,False,0,23,0,34,8779,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,sympy__sympy-16766,0.0227,0.0,False,0,15,0,27,3818,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,sympy__sympy-16792,0.1286,0.0,False,0,49,0,34,6968,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,sympy__sympy-16886,0.0113,0.0,False,0,12,0,19,2744,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,sympy__sympy-18189,0.8296,0.0,False,0,165,0,89,14941,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,sympy__sympy-18211,0.0345,0.0,False,0,17,0,27,4975,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,sympy__sympy-19495,0.1082,0.0,False,0,34,0,76,8761,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,sympy__sympy-19954,0.0672,0.0,False,0,21,0,116,7074,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,sympy__sympy-21847,0.0164,0.0,False,0,11,0,24,3278,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,sympy__sympy-22456,0.0114,0.0,False,0,8,0,11,2537,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,sympy__sympy-22914,0.0139,0.0,False,0,10,0,48,3962,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,sympy__sympy-23534,0.0817,0.0,False,0,26,0,35,5300,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,sympy__sympy-23824,0.038,0.0,False,0,18,0,27,5107,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,sympy__sympy-23950,0.0968,0.0,False,0,37,0,26,5687,1
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,Observation Masking,sympy__sympy-24066,0.0588,0.0,False,0,23,0,45,6080,1
