experiment,instance_id,cost,summary_cost,has_summary,summary_count,turn_count,mean_reasoning_tokens,mean_completion_tokens,mean_prompt_tokens,outcome,strategy,scaffold
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-14349,1.263,0.0372,True,5,126,7,344,25077,1,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-10973,0.5036,0.0189,True,3,80,13,187,16498,1,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,matplotlib__matplotlib-23476,0.0966,0.0,False,0,20,58,156,13344,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,scikit-learn__scikit-learn-12585,0.4775,0.0143,True,2,54,12,255,23130,1,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,sphinx-doc__sphinx-10449,0.263,0.0,False,0,18,30,363,38889,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,sphinx-doc__sphinx-7440,1.3993,0.0486,True,7,167,3,194,23062,1,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,sympy__sympy-21847,0.2657,0.0,False,0,23,35,348,31622,1,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-15037,2.0873,0.0808,True,10,239,3,236,22727,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-16263,0.4764,0.0079,True,1,49,16,280,25923,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-16560,1.2197,0.0405,True,5,134,3,302,24036,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,sympy__sympy-23824,0.1821,0.0,False,0,15,14,238,34351,1,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,scikit-learn__scikit-learn-13496,0.564,0.0152,True,2,60,14,199,25068,1,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,sphinx-doc__sphinx-8056,0.7867,0.0216,True,2,58,7,349,35146,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-14140,0.5731,0.0164,True,2,55,22,333,26925,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,sympy__sympy-22714,1.5563,0.0382,True,4,112,12,507,34724,1,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-11276,0.4184,0.0063,True,1,49,25,176,22441,1,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,astropy__astropy-14369,0.6465,0.012,True,1,39,23,454,43237,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-15572,0.3234,0.0053,True,1,42,19,175,20756,1,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-14787,0.1359,0.0,False,0,16,112,353,22877,1,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,sympy__sympy-14531,0.531,0.0082,True,1,51,33,328,28451,1,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-15863,0.6188,0.0086,True,1,43,20,867,38028,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-13516,1.58,0.0614,True,10,243,4,219,16459,1,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-14434,0.5289,0.0147,True,2,63,12,237,22271,1,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,matplotlib__matplotlib-20826,0.6021,0.015,True,2,54,11,211,31214,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,pytest-dev__pytest-6202,0.4473,0.0089,True,1,44,19,199,26821,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,sympy__sympy-19495,0.4198,0.0115,True,1,39,52,419,26981,1,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-11299,2.1299,0.1098,True,11,245,7,314,21887,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,scikit-learn__scikit-learn-26323,0.3274,0.0055,True,1,48,10,162,18751,1,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,sympy__sympy-13031,0.89,0.0132,True,1,39,86,1339,54773,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,sympy__sympy-13878,2.4161,0.0886,True,9,218,2,390,27555,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,psf__requests-1142,0.8992,0.0214,True,2,68,20,245,35000,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-15851,0.2341,0.0056,True,1,44,24,184,13786,1,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,pytest-dev__pytest-6197,2.8942,0.1114,True,10,249,8,396,29070,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,sympy__sympy-24443,0.2695,0.0,False,0,27,10,297,25081,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-16315,0.6704,0.0259,True,3,77,6,306,22733,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,sympy__sympy-20154,0.3074,0.0,False,0,29,21,143,29348,1,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-13568,0.1057,0.0,False,0,18,40,149,16462,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-13033,1.1099,0.0281,True,3,94,6,387,31630,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,sphinx-doc__sphinx-10435,2.723,0.0891,True,10,250,3,339,27932,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-13158,2.0542,0.076,True,7,172,9,397,30080,1,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-16100,2.3421,0.0954,True,10,249,2,328,23526,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,sphinx-doc__sphinx-9229,1.0541,0.0178,True,1,52,14,438,54290,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,astropy__astropy-13453,2.8871,0.1129,True,10,249,3,310,29919,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,sympy__sympy-12419,3.702,0.1042,True,8,186,1,856,48668,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,sympy__sympy-13372,0.5278,0.0093,True,1,47,9,279,33627,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,sphinx-doc__sphinx-8035,2.4291,0.0908,True,10,248,2,303,24722,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-11815,0.7248,0.0212,True,3,89,9,234,21754,1,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,sphinx-doc__sphinx-8548,3.5064,0.1105,True,10,250,5,377,36018,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,scikit-learn__scikit-learn-25931,0.1138,0.0,False,0,19,226,473,15953,1,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,sympy__sympy-24066,0.443,0.0,False,0,26,12,241,45178,1,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,sphinx-doc__sphinx-10323,2.0824,0.0306,True,3,88,23,1206,57096,1,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,sphinx-doc__sphinx-9673,2.948,0.0852,True,10,246,3,492,29563,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,pydata__xarray-4966,0.2813,0.0069,True,1,35,16,312,20500,1,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,scikit-learn__scikit-learn-15100,0.1351,0.0,False,0,19,34,160,19721,1,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,matplotlib__matplotlib-24637,0.4903,0.0107,True,1,35,69,298,40562,1,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-15987,0.2856,0.0065,True,1,32,25,192,27624,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,pydata__xarray-4687,1.906,0.0578,True,6,158,2,315,31094,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-13121,0.5455,0.0147,True,3,84,0,189,17350,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,sympy__sympy-13798,0.8202,0.0109,True,1,47,37,299,46124,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,sympy__sympy-21930,0.4772,0.0078,True,1,49,29,308,25012,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-16595,0.0922,0.0,False,0,11,50,249,25869,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-16642,0.3264,0.0057,True,1,47,14,211,19559,1,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,pylint-dev__pylint-4661,0.1672,0.0,False,0,26,40,185,19893,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,django__django-16502,0.0939,0.0,False,0,16,67,276,16536,0,LLM-Summary,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,sympy__sympy-23950,0.2175,0.0,False,0,22,54,402,25402,0,LLM-Summary,openhands
